,trapEmax
0,2.050963539809465
1,3.768720313772496
2,3.805244852072919
3,2.3800981372458754
4,2.882079924247267
5,2.6745686570543743
6,4.143049388070039
7,3.125496839745635
8,3.198416570674895
9,4.14787190813076
10,2.9191072789084016
11,3.2754546149774644
12,4.285951523843001
13,3.3573166954029814
14,3.759027706055549
15,2.8916129789942446
16,2.2002229029117775
17,2.8676609904373267
18,42830.40803381492
19,8612.46253643864
20,5742.480108692447
21,14909.907627642695
22,16013.66358736521
23,5.1434229934015425
24,2.6944364086329537
25,2.7830935886868735
26,4.2003045341629806
27,3.876106872742973
28,3.3340226641043422
29,2.720241948757497
30,3.014211174791157
31,2.495494565852858
32,3.541432013527702
33,4.243699851390843
34,5.741508433603635
35,5.159888665330952
36,3.870903601693179
37,3.0064496298825016
38,4.7876856404370844
39,3.8157574888933636
40,2.311932843789375
41,3.4409289443502695
42,4.019842749668065
43,3.0373496036079963
44,2.7055303026490396
45,2.2802330660502363
46,3.6400085159208
47,59108.081844825305
48,3.5346532646929347
49,5.044737755473477
50,3.0668046430921
51,2.5730423856315587
52,3.2510689393894348
53,2.6366089440742293
54,2.84384111486553
55,2.8802908250313877
56,2.7665539014669696
57,3.398623250691048
58,2.8023898064069384
59,4.388095225548736
60,3.2794448242221943
61,2.4230725418734034
62,3.21693700433252
63,3.301919460655384
64,2.5248461290675523
65,2.1991330447487547
66,2.502439785570415
67,2.5811244061319787
68,4.215851877810495
69,1.799997788533604
70,2.3012391629048183
71,2.8588426467395793
72,6.309916801825633
73,5.135873464314515
74,4.9829364267545895
75,2.449054001811813
76,2.5209021910013885
77,42830.40803381492
78,8612.46253643864
79,5742.480108692447
80,14909.907627642695
81,16013.66358736521
82,3.1956476598183245
83,3.4699852205869
84,2.816158604725598
85,6.6265138688161525
86,2.965683322434173
87,5.708894378659769
88,1.7722933957906637
89,4.082877847584495
90,2.6976817663379853
91,2.4159728679221217
92,3.2292586935338683
93,2.622193731598461
94,4.797073509873027
95,4.027384447690497
96,4.651750568529745
97,3.4069434523715154
98,4.251126783962151
99,3.120281572668363
100,2.411600030991935
101,2.913682457028524
102,2.2767960554696574
103,3.2786457461481513
104,1.822962571458496
105,3.9798623718805795
106,42830.40803381492
107,8612.46253643864
108,5742.480108692447
109,14909.907627642695
110,16013.66358736521
111,3.5449299266129097
112,3.6409185904371113
113,2.3966387172854757
114,3.035772130669419
115,2.9556463873796677
116,2.355732116903541
117,3.608444365134229
118,2.263614891362188
119,2.2452648619820783
120,5.485216937013251
121,2.9486657756888413
122,3.9052819466386586
123,3.936672055090728
124,3.0060375217207964
125,2.5261784519159916
126,2.923536370568896
127,2.7036678616741776
128,3.199702831233971
129,2.7473502979072366
130,3.07246875578451
131,4.871168716257831
132,2.5211986520896748
133,3.5767192097151366
134,3.8230987615568024
135,2.22037196173863
136,2.0654505740305895
137,3.123609952316583
138,4.0619045772422115
139,4.108162311941183
140,2.7369399829863337
141,1.8900918248271745
142,3.1342171141404576
143,2.1577905852905124
144,3.678481173675509
145,3.062911310343263
146,3.908611250370887
147,2.8504127101334573
148,2.917633116403012
149,3.3319687271617635
150,1.932320314094925
151,2.8335465464653833
152,4.662904366514906
153,2.0519025148807986
154,3.1546824247201872
155,2.4832838078963313
156,3.5650809924024296
157,2.0950916621427824
158,3.9805554338363747
159,3.8822536405924657
160,3.538945326126842
161,4.106790539397302
162,3.0949780838271685
163,5.125782829683791
164,3.046994571762779
165,4.718481333412967
166,2.5390426751586377
167,3.919512433717391
168,4.587725025163348
169,3.1612500397148864
170,42830.40803381492
171,8612.46253643864
172,5742.480108692447
173,14909.907627642695
174,16013.66358736521
175,2.4255107306596946
176,2.4636543963198996
177,2.3061863295419496
178,4.745340732248753
179,3.41827857998678
180,2.9969229427580935
181,3.8138596413474337
182,2.054534759861422
183,2.342221592521753
184,2.309975006501835
185,2.115997000211319
186,2.5870229413257695
187,42830.40803381492
188,8612.46253643864
189,5742.480108692447
190,14909.907627642695
191,16013.66358736521
192,4.020581818954371
193,3.2378077723540875
194,4.04408309347051
195,1887.6424097936067
196,3.7975384408039385
197,2.4306905058052264
198,3.311614203934109
199,2.52110162693355
200,4.615172081129885
201,2.802412480990686
202,3.841239045269761
203,2.2177044433968707
204,3.5765667657629248
205,3.31510413090428
206,2.1073113492337647
207,3.3937799652374947
208,3.7898590421291836
209,3.299718477557243
210,4.748779895906931
211,3.0701695922962484
212,2.2946644376921235
213,2.82169542416303
214,4.0432153118213865
215,3.952343628401156
216,3.255239201953776
217,3.286826862016923
218,3.195461045306442
219,3.1785098789367883
220,2.2172815287754855
221,2.371618842137803
222,3.349725483639113
223,3.106468235262552
224,2.8910847409209834
225,4.227430227292686
226,42830.40803381492
227,8612.46253643864
228,5742.480108692447
229,14909.907627642695
230,16013.66358736521
231,3.09741637304436
232,2.5260695790937024
233,3.8046602004819725
234,2.889636297469159
235,2.8681786556873217
236,2.6579145339173866
237,4.659625046029811
238,42830.40803381492
239,8612.46253643864
240,5742.480108692447
241,14909.907627642695
242,16013.66358736521
243,3.4427546319894198
244,3.3918704011810554
245,3.2633559178190175
246,2.361544821079029
247,3.7634270680645265
248,4.896283557592636
249,2.5779394089260306
250,2.9137656580957128
251,2.872357549428223
252,4.505064912705253
253,2.7185472530482846
254,2.1033630044720013
255,2.666776472835589
256,3.4344890138901905
257,3.656527796050201
258,3.0079868778183165
259,3.0298528805493206
260,2.842280079347236
261,4.0093606748402415
262,3.4461875506039927
263,6.542041979603325
264,3.7718391082823235
265,5.198667241110023
266,4.592820545988053
267,3.055526799114098
268,42830.40803381492
269,8612.46253643864
270,5742.480108692447
271,14909.907627642695
272,16013.66358736521
273,2.775041217414736
