,trapEmax
0,5.5658115168007765
1,5.621070247013316
2,390.57091788201365
3,4.76109577059986
4,4.957421265298988
5,4.9026093165404445
6,5.30043223530298
7,5.459510954574262
8,4.866107460700211
9,5.4387098297870065
10,5.420666936241953
11,5.146144139473492
12,5.222682987980351
13,4523.248113433144
14,4.868650935214402
15,-1432.7067677333494
16,5.222682987980351
17,4523.248113433144
18,4.868650935214402
19,-6.450002266211591
20,4.627710611154759
21,5.162511226875918
22,5.765384758497845
23,5.850146411441204
24,5.010429306213658
25,5.491115211461267
26,5.390421278658673
27,4.775282502105448
28,5.903295172249532
29,4.504477814703441
30,5.644497893113628
31,4.709873571963117
32,5.007097850744778
33,5.172208227660485
34,4.752492800069462
35,5.685077303010854
36,5.510002334018194
37,4.4671989989001375
38,5.95566289955569
39,6.111656915227594
40,5.556810987288336
41,5.946420028791355
42,4.783441987651003
43,5.502991040272118
44,5.918384490018215
45,4.974904760760934
46,3.6141568602564145
47,4.8528533866533765
48,4.614934194002808
49,4.625729111358108
50,5.420268996477592
51,4.512792483725341
52,5.1008928196221675
53,4.049749444309577
54,5.280706619866533
55,5.971809209221559
56,4.991073269046006
57,5.531598964592492
58,4.4779795615934965
59,4.348470043795911
60,5.612668149524481
61,6.344490370368517
62,5.806412240560618
63,5.485639259671599
64,4.763758308115071
65,4.372786053690689
66,5.093173766457417
67,5.285336054777564
68,5.229369609148561
69,5.212025216038261
70,4.922639560001045
71,4.637904059517555
72,4.642289986492977
73,4.690780331002065
74,-638.0034693214416
75,4.637904059517555
76,4.642289986492977
77,4.690780331002065
78,-32.704747065176726
79,4.951053188161629
80,4.509339372704243
81,5.2773765941488024
82,4.753703183886707
83,5.129270843438652
84,4.944667075701687
85,5.2139966868166185
86,5.9782741758690054
87,4.935094644304751
88,4.792227977118969
89,5.148309639085802
90,5.326866399006034
91,5.54109583456913
92,4.959322625533463
93,5.947658118351993
94,5.577519644505112
95,5.123914718622559
96,5.3650241553271405
97,4.092430411720787
98,4.701468458077396
99,5.676452891656425
100,5.312275855937761
101,4.331294647934049
102,4.591793762022303
103,-783.1206269846665
104,5.312275855937761
105,4.331294647934049
106,4.591793762022303
107,-18.88954648875904
108,4.614176822056468
109,5.537164160254433
110,5.187148931407477
111,5.102917247138235
112,5.269161667281236
113,5.288911743103629
114,4.586742919800526
115,5.049146102310229
116,4.595600353237602
117,5.111602508455661
118,5.847913754335579
119,4.691637049731297
120,5.430699342531389
121,5.727795938799745
122,5.953462917445428
123,5.153955081998824
124,4.557761251492505
125,6.4966755777106435
126,5.445760297845657
127,5.415484005966266
128,5.433246752814111
129,5.433451241021874
130,5.032809718535418
131,5.96243061769206
132,4.950221075941903
133,4.941664393475821
134,5.515175920590842
135,5.152017891188199
136,5.09668574458193
137,4.8031044966033845
138,4.945673287585221
139,5.075028740903139
140,4.604243915124999
141,4.7277799966532505
142,5.978390950260729
143,4.718201640450165
144,4.688996858833578
145,5.05919535741712
146,5.543387576150209
147,5.070163603584072
148,5.678537704248369
149,4525.988131331184
150,5.2432327220873205
151,5.106618552369994
152,5.711861394970112
153,4.65216568203635
154,8597.429064704764
155,5.797536586624643
156,6.151686433678687
157,5.196002714659752
158,6.048047464877533
159,5.425499261086223
160,4.844631206635805
161,5.939914783041852
162,4.357413678263974
163,5.246196995528463
164,5.133854021245738
165,4.854264642553783
166,4.74477273027642
167,-652.1483634822603
168,4.854264642553783
169,4.74477273027642
170,-32.64975661542058
171,23.874477899956332
172,5.725220812722451
173,5.213771206891006
174,5.186701981226916
175,5.595876981427441
176,4.7106240638930235
177,5.830922525521298
178,5.5295266402956775
179,5.406643004404197
180,4.8293064671323735
181,6.692198196559031
182,4.473065912137877
183,4.455204202791762
184,-1335.3644017215813
185,6.692198196559031
186,4.473065912137877
187,4.455204202791762
188,-36.40998437527656
189,4.803691969437602
190,5.6905457139929
191,5.74402130491342
192,6.504441305686614
193,5.467241675486878
194,5.951832663694793
195,5.589273607054975
196,5.846354211543577
197,5.4082188732247785
198,5.199631297523674
199,5.160791947254114
200,5.655888211342524
201,4.606385252112862
202,4.065875339604173
203,4.7666033172251545
204,5.265752562845557
205,5.400416801747947
206,5.852483708784926
207,4.825703639443123
208,4.638206792696154
209,4.862136657388804
210,5.972140464266565
211,4.640089595665902
212,6.019550887143205
213,5.58831502479839
214,4.782827111000938
215,5.413943976864957
216,6.971576920560953
217,4.646254588782317
218,4.891764285677966
219,4.590401629358119
220,6.066083778530449
221,4.871305298070861
222,6.481906996994125
223,-685.0113690180787
224,6.066083778530449
225,4.871305298070861
226,6.481906996994125
227,-31.646810006738317
228,5.25277059591169
229,4.8384474914650255
230,5.8712676526935175
231,6.598487843517628
232,4.45046036632117
233,6.041851883821525
234,4.4667971942417095
235,-1370.0320510610493
236,6.041851883821525
237,4.4667971942417095
238,-31.329569614863544
239,23.84569127197774
240,4.66417543797508
241,5.7844931126728945
242,4.564813925835311
243,4.713420008602178
244,5.145455709966138
245,5.9253643183845295
246,5.054680779857597
247,6.138077897315472
248,4.973802407917289
249,4.901025236065917
250,4.675567377432099
251,5.466730784961741
252,218.60813194725534
253,4.576250519184231
254,5.696323655504029
255,4.356437733036166
256,5.642567426915892
257,5.431449792723315
258,4.901654283834004
259,3.971985019246276
260,3.6685421809374343
261,5.483976842925821
262,4.577664783552233
263,4.7120474540019135
264,5.611929718586747
265,-1249.9796919816856
266,4.577664783552233
267,4.7120474540019135
268,5.611929718586747
269,-15.326953790425186
270,5.287251245574739
271,5.441108635469126
272,5.214359379045929
273,5.236620297601327
274,5.271922505759232
275,4.88574432056619
276,5.42097628885658
277,7.146017029716563
278,5.280012729349049
279,5.223266596735078
280,5.92316418910547
281,5.229785320071505
282,4.225849231196249
283,4.906156472799708
284,5.7015920583243735
285,5.384691954258518
286,5.454704900602035
287,5.237996715133563
288,6.452081504307021
289,-1466.6106373848959
290,5.454704900602035
291,5.237996715133563
292,6.452081504307021
293,-31.232511566463582
294,5.507119449884805
295,4.980555507863262
296,5.337032331375677
297,6.72196792806303
298,4.04457203698647
299,5.37485498633829
300,5.118384289886714
301,5.244571437831032
302,-707.8892756101727
303,5.37485498633829
304,5.118384289886714
305,5.244571437831032
306,-27.850782539419278
307,5.488846101388535
308,5.009472005551549
309,4.688310143515969
310,4.343381572171503
311,4.753263315454297
312,4.600397808325453
313,5.210888036407974
314,5.794436154923951
315,4.971485729359295
316,5.319732783823277
317,5.9105275018165075
318,5.230479186897408
319,5.292771697912251
320,6.243231099329744
321,-1096.5825585230448
322,5.292771697912251
323,6.243231099329744
324,-20.107447387994224
325,-3.1623593828984053
326,4.897934639390486
327,4.280138688540259
328,5.545099348402921
329,5.749074088256167
330,5.65521307294562
331,4.801344027698607
332,5.152696518457386
333,4.922041667961954
334,5.418799522155708
335,5.285027185022715
336,4.994769133214417
337,5.786459823312217
338,4.876831442657204
339,5.158957520191584
340,6.03205721115683
341,5.198777438258363
342,5.859890506185366
343,5.149804801359463
344,5.041612942112163
345,4.640826459622393
346,5.686258060329074
347,5.4244417000992735
348,4.710143917994599
349,5.614855596822984
350,-1405.6706468826408
351,5.4244417000992735
352,4.710143917994599
353,5.614855596822984
354,-28.39174562166823
355,5.592970085781858
356,5.970992657846856
357,4.90313511522047
358,4.685975760821926
359,5.417232832247205
360,5.027162345836588
361,4.2895428235986515
362,4.387485936128031
363,6.143429058800687
364,5.255468417221927
365,6.438313921459441
366,4.729152844815633
367,5.453020202532048
368,4.820643896140637
369,4.626395390553055
370,-800.1750235712727
371,5.453020202532048
372,4.820643896140637
373,4.626395390553055
374,-12.915449250679174
375,4.517969846606304
376,5.727786890568971
377,4.9699924880638084
378,4.840684729879545
379,5.2688171699562645
380,6.221386881517123
381,5.27356108331392
382,4.804682347543374
383,6.192444631675385
384,6.01741810485645
385,4.752131435052462
386,6.046449519459205
387,5.388165551217094
388,5.052296592881057
389,3.8729110889820406
390,5.803201836501101
391,4.8818849086103855
392,6.074092894941961
393,4.166314669172439
394,5.194497167464307
395,4.9849872592124855
396,5.32534961516518
397,4.844516580228225
398,5.796615544629326
399,6.013736882994614
400,5.669037409702002
401,4.829487931271507
402,-868.9054658652135
403,6.013736882994614
404,5.669037409702002
405,4.829487931271507
406,-22.84625670918201
407,4.513347054643895
408,3.583149971275727
409,5.145403697615034
410,5.253582793262752
411,-749.2708982773539
412,3.583149971275727
413,5.145403697615034
414,5.253582793262752
415,-21.305916712797114
416,6.712205304271141
417,5.817037085308831
418,4.908943820120928
419,4.816942583471656
420,5.969888134417313
421,5.768014017659039
422,4.77689181232921
423,5.661497153053402
424,6.156752490874232
425,5.876853954516168
426,5.998539259853465
427,4.106252368409821
428,5.242192521892103
429,5.501941108742124
430,5.5247214875603445
431,5.421493573395463
432,5.430704822658033
433,5.090307678744624
434,5.6744495560245785
435,5.793826123552827
436,4.230423316509796
437,4.134577685864407
438,4.7361037791407625
439,4.839479647875265
440,5.106972365246577
441,5.65612688206039
442,5.794410640111965
443,-729.7781098230391
444,5.65612688206039
445,5.794410640111965
446,-35.00810856461312
447,23.828222686927337
448,5.365290647532209
449,4.995051319889324
450,4.575496921745345
451,6.3525751840928555
452,6.031650427816804
453,4.535361289688339
454,4.336410464066284
